"","subjectID","Age","Gender","Occupation","Education","Ethnicity","DoPLSum","dominanceSum","prestigeSum","leadershipSum","UMSSum","UMSIntimacySum","UMSAffiliationSum","riskSum","riskPerceptionSum","riskBenefitSum","ethicalQuestionsRiskSum","financialQuestionsRiskSum","healthAndSafetyQuestionsRiskSum","recreationalQuestionsRiskSum","socialQuestionsRiskSum","ethicalQuestionsBenefitSum","financialQuestionsBenefitSum","healthAndSafetyQuestionsBenefitSum","recreationalQuestionsBenefitSum","socialQuestionsBenefitSum","ethicalQuestionsPerceptionSum","financialQuestionsPerceptionSum","healthAndSafetyQuestionsPerceptionSum","recreationalQuestionsPerceptionSum","socialQuestionsPerceptionSum","ethicalpreference.riskBenefit_7","ethicalpreference.riskBenefit_10","ethicalpreference.riskBenefit_11","ethicalpreference.riskBenefit_21","ethicalpreference.riskBenefit_28","ethicalpreference.riskBenefit_29","ethicalpreference.riskBenefit_39","ethicalpreference.riskBenefit_40"
"69","69",-0.63455433,"1","student","4","3", 0.46502493, 0.25991939, 0.97912068,-0.08263094, 1.47104339, 0.5919188, 1.66558225, 0.01485010, 0.34310831, 0.47174990, 0.32477988, 0.42700796, 0.1146287,-0.31147730,-0.52240210, 0.91767654, 1.21783820, 0.30481997, 0.12440735,-0.52240210, 0.52072453,-0.86441081, 0.07507456, 0.66781709, 1.02362024,1.7301403,0.9018776,2.0706568,0.7546479,0.7546479,0.1196720,0.6810331,0.7546479
"70","70",-0.52597282,"0","Student","3","5",-0.20861640, 0.08072031,-0.53035703,-0.08263094,-1.09365530,-1.0008809,-0.97286303, 0.24221017, 0.95328224, 0.56872071, 1.08108549, 0.66049506,-0.4047094, 0.15260297, 0.91698242,-0.01469962, 0.08346024, 0.30481997, 1.23805377, 0.91698242, 0.29755688, 0.98968774, 0.92976950, 0.23809131, 1.67913090,1.3160089,0.2669017,0.6810331,1.2423941,1.1687793,0.2669017,0.1932868,0.7546479
"71","71",-0.52597282,"1","Financial departament assiatant","3","3", 0.21240943, 1.51431298,-0.74599671,-0.43540151,-0.95117203,-1.3990809,-0.59594227,-0.66723014,-1.23317433, 0.27780827,-0.68362759, 0.19352085,-1.1837166,-0.07943716, 0.09447698, 0.91767654, 0.08346024, 0.07620499, 0.12440735, 0.09447698,-1.26461672,-1.32793545,-1.20696787,-0.83622314,-0.72440817,0.8282627,1.1687793,0.7546479,0.9018776,0.7546479,0.9018776,1.8037551,1.2423941
"72","72", 0.12551624,"0","Student","5","5", 0.54923009, 0.08072031, 0.76348100, 0.44652490, 0.33117731,-0.6026810, 0.72328036, 1.43585058,-0.41960910, 0.32629368, 1.33318736, 0.42700796, 0.8936358, 1.54484381, 0.71135606, 0.68458250, 0.08346024,-0.15240999, 0.12440735, 0.71135606,-0.37194610, 0.29440078,-0.35227292,-0.62136025,-0.72440817,1.8773700,0.9018776,0.6810331,0.6810331,1.3160089,0.1196720,0.7546479,1.2423941
"73","73",NA,"1","Stay at home parent","3","2",-0.12441124, 0.79751664,-0.53035703,-0.61178679,-0.52372225,-0.2044810,-0.59594227,-0.49671008, 1.05497789,-0.25553120,-0.43152572,-0.97391470,-0.4047094,-1.47167800,-0.52240210, 0.45148846,-0.67279173,-0.60963994, 0.34713663,-0.52240210, 1.41339516, 0.98968774, 1.14344324, 1.31240576,-0.28740107,1.0951644,0.9018776,1.6565255,0.1196720,1.2423941,0.1196720,0.6810331,0.6810331
"74","74", 0.01693473,"1","Unimployed","5","4",-2.39795072,-2.06966870,-0.74599671,-2.37563962,-0.95117203, 0.1937189,-1.34978378,-1.69035048, 0.49565179,-1.46766636,-1.94413693,-2.14135024,-1.4433856,-0.07943716,-0.93365482,-1.18016983,-1.80716969,-1.06686990,-1.43469764,-0.93365482, 0.52072453, 0.52616310,-0.35227292, 1.31240576, 0.14960604,1.3160089,0.4141314,0.7546479,0.1196720,0.2669017,0.1196720,0.1196720,0.2669017
"75","75",-0.85171735,"1","Student","4","3",-1.21907839,-0.27767786,-0.31471736,-2.02286905, 0.61614383, 1.3883187, 0.15789923, 0.24221017,-0.41960910,-0.44947282, 0.57688175, 0.66049506, 0.8936358,-0.54351744,-0.31677574,-0.94707579,-0.29466575, 0.30481997,-0.76650979,-0.31677574,-0.14877844,-0.40088617,-0.77962039, 0.02322842,-0.50590462,0.6810331,0.4141314,0.6074182,0.3405165,0.6810331,0.7546479,0.3405165,0.2669017
"76","76",-0.63455433,"1","student","4","3",-0.62964223,-2.06966870, 0.54784133, 0.27013962, 0.18869405, 0.1937189, 0.15789923,-0.95143023, 2.07193444,-0.59492904,-0.93572946,-0.74042759,-0.6643785,-1.00759772, 0.50572970,-0.94707579,-0.48372874,-0.83825492,-0.98923907, 0.50572970, 2.08289813, 2.14849934, 2.21181193, 1.74213154, 0.80511669,0.1196720,1.8037551,0.1196720,0.7546479,0.1196720,0.1196720,0.1196720,0.1932868
"77","77", 0.66842379,"1","PhD student/researcher","5","3",-0.46123190,-0.27767786,-0.09907769,-0.61178679,-1.09365530,-1.0008809,-0.97286303, 0.24221017,-1.38571782, 0.13235206, 0.07267802,-0.50694048,-0.6643785, 1.08076353, 0.09447698,-0.01469962,-0.10560275, 0.30481997, 0.34713663, 0.09447698,-1.71095204,-1.09617313,-0.99329413,-1.26594892,-0.94291173,1.8773700,0.4141314,0.9018776,0.6074182,0.8282627,0.2669017,0.8282627,0.8282627
"78","78", 0.01693473,"1","marketing and logistics specialist","5","3", 0.80184559, 0.79751664, 0.33220166, 0.62291019, 0.90111035, 0.5919188, 0.91174074,-0.04198992,-0.41960910, 0.76266234,-0.93572946, 2.29490482,-0.6643785,-0.54351744, 0.50572970, 0.68458250, 1.21783820, 0.30481997, 0.56986592, 0.50572970,-0.37194610,-1.32793545,-0.56594666, 0.45295420,-0.06889752,2.1442717,0.9018776,1.1687793,0.1196720,1.3160089,0.2669017,0.8282627,0.8282627
